,Title,Link,Authors,Article Text,Summary,Keywords
0,Coronavirus,https://bbc.com/news/coronavirus,[],"BBC

The way Scotland's GPs and hospitals have adapted to the use of technology to cope with the lack of face-to-face appointments ""has been phenomenal"", Grampian's head of public health suggests.

Many services have been postponed while the NHS coped with the Covid-19 crisis.

Asked by an asthma sufferer when appointments for those with chronic illnesses will resume, Jillian Evans tells BBC Scotland: ""The gradual resumption of health care will be baby steps and those who will be seen first will be the urgent cases whose life is in danger if they are not treated or seen.""

However, she adds: ""Just think of all those virtual appointments that have taken place and what we've seen in Grampian is that being used a lot.""","BBCThe way Scotland's GPs and hospitals have adapted to the use of technology to cope with the lack of face-to-face appointments ""has been phenomenal"", Grampian's head of public health suggests.
Many services have been postponed while the NHS coped with the Covid-19 crisis.
Asked by an asthma sufferer when appointments for those with chronic illnesses will resume, Jillian Evans tells BBC Scotland: ""The gradual resumption of health care will be baby steps and those who will be seen first will be the urgent cases whose life is in danger if they are not treated or seen.""
However, she adds: ""Just think of all those virtual appointments that have taken place and what we've seen in Grampian is that being used a lot.""","['treated', 'urgent', 'think', 'seen', 'way', 'appointments', 'virtual', 'weve', 'used', 'health', 'coronavirus']"
1,Minneapolis protesters: 'Nobody's listening',https://bbc.com/news/video_and_audio/headlines,[],"What is SpaceX and why is it working with Nasa?

Ahead of the launch of the Crew Dragon mission, the BBC explains what SpaceX does exactly","What is SpaceX and why is it working with Nasa?
Ahead of the launch of the Crew Dragon mission, the BBC explains what SpaceX does exactly","['spacex', 'nobodys', 'does', 'mission', 'crew', 'explains', 'nasaahead', 'launch', 'protesters', 'dragon', 'working', 'minneapolis', 'listening', 'exactly']"
2,BBC News,https://bbc.com/news/world,[],"AFP Russia has the third highest number of reported infections in the world

Russia has reported 232 more deaths, its highest number in a 24-hour period, bringing the total to 4,374. New infections, at 8,572, are well down from their peak. That death toll may be under-reported too, as our story on Moscow's decision to revise its number explains.

Swimming in outdoor pools and holding weddings with up to 100 people are now allowed in Austria. After a relatively minor outbreak with 645 deaths in total, restrictions are being lifted fast.

Another meat processing plant in the Netherlands has reported an outbreak - 21 out of 130 staff have tested positive at Van Rooi Meat in the southern city of Helmond.

Spain has decided to move 70% of the country to Phase Two of lifting the lockdown on Monday - cinemas, theatres, concert halls and shopping centres will reopen, in a limited way.

Croatia's reopened its borders to 10 EU countries including Austria, but as Croatia is not on Austria's ""white list"", returning tourists will need a negative Covid-19 test to come back.","AFP Russia has the third highest number of reported infections in the worldRussia has reported 232 more deaths, its highest number in a 24-hour period, bringing the total to 4,374.
That death toll may be under-reported too, as our story on Moscow's decision to revise its number explains.
Swimming in outdoor pools and holding weddings with up to 100 people are now allowed in Austria.
After a relatively minor outbreak with 645 deaths in total, restrictions are being lifted fast.
Another meat processing plant in the Netherlands has reported an outbreak - 21 out of 130 staff have tested positive at Van Rooi Meat in the southern city of Helmond.","['austria', 'outbreak', 'worldrussia', 'number', 'highest', 'bbc', 'reported', 'infections', 'deaths', 'total', 'meat']"
3,BBC News,https://bbc.com/news/world/asia,[],"South Korea closes schools again as cases jump

Schools that had just re-opened days ago have now been forced shut again after a spike in cases.",South Korea closes schools again as cases jumpSchools that had just re-opened days ago have now been forced shut again after a spike in cases.,"['spike', 'shut', 'schools', 'reopened', 'forced', 'bbc', 'south', 'days', 'korea', 'cases', 'jumpschools']"
4,BBC News,https://bbc.com/news/uk,[],"An East Sussex resort's seafront gardens are the latest casualties of the Covid-19 crisis as suppliers are unable to provide plants for floral displays this summer.

Visit Eastbourne Some 45,000 bedding plants are used every summer in the Carpet Gardens

The Carpet Gardens are the centrepiece of the town's seafront, with Eastbourne Borough Council using about 45,000 bedding plants every summer to create geometric patterns.

But due to the pandemic, suppliers have not been able to grow the plants as their work was considered non-essential under government guidance, and many staff were sent home.

Councillor Jonathan Dow, Eastbourne Borough Council’s Cabinet member for climate change, said: ""These award-winning flower displays are a great source of pride for our town and year-upon-year people come to see the vibrant creations here.

""Whilst it is disappointing not to have our trademark Carpet Gardens to grace the seafront this summer, we will be using this opportunity to control a weed called Oxalis which has been prevalent in the beds for the last few years.""

The weed will be allowed to grow for a time so that it can be then be dug out with the aim of permanently eliminating it.

Councillor Dow added: ""We very much look forward to the return of our stunning Carpet Gardens displays next year for residents and visitors alike to enjoy.""","An East Sussex resort's seafront gardens are the latest casualties of the Covid-19 crisis as suppliers are unable to provide plants for floral displays this summer.
Visit Eastbourne Some 45,000 bedding plants are used every summer in the Carpet GardensThe Carpet Gardens are the centrepiece of the town's seafront, with Eastbourne Borough Council using about 45,000 bedding plants every summer to create geometric patterns.
But due to the pandemic, suppliers have not been able to grow the plants as their work was considered non-essential under government guidance, and many staff were sent home.
The weed will be allowed to grow for a time so that it can be then be dug out with the aim of permanently eliminating it.
Councillor Dow added: ""We very much look forward to the return of our stunning Carpet Gardens displays next year for residents and visitors alike to enjoy.""","['using', 'plants', 'carpet', 'summer', 'gardens', 'seafront', 'suppliers', 'bbc', 'weed', 'displays', 'eastbourne']"
5,Business,https://bbc.com/news/business,[],"BBC

Hundreds of North Sea jobs are thought to be under threat at an offshore oil and gas company.

Underwater engineering firm Subsea 7 has announced it is to cut 3,000 jobs from its 12,000 global workforce.

The company said: ""Faced with a significant deterioration in the oil and gas market, we are taking swift and decisive action to address the elements under our control.""

It is believed several hundred of those could be cut in the UK. Subsea 7 has offices in Aberdeen, a support yard in Glasgow and engineering facilities at Wick and Leith.

Read more here.","BBCHundreds of North Sea jobs are thought to be under threat at an offshore oil and gas company.
Underwater engineering firm Subsea 7 has announced it is to cut 3,000 jobs from its 12,000 global workforce.
The company said: ""Faced with a significant deterioration in the oil and gas market, we are taking swift and decisive action to address the elements under our control.""
It is believed several hundred of those could be cut in the UK.
Subsea 7 has offices in Aberdeen, a support yard in Glasgow and engineering facilities at Wick and Leith.","['wick', 'subsea', 'cut', 'yard', 'business', 'oil', 'jobs', 'engineering', 'uk', 'workforcethe', 'gas']"
6,Technology,https://bbc.com/news/technology,[],"Parents of year six and year one pupils have been falling out over whether to send them back to school.

Read more",Parents of year six and year one pupils have been falling out over whether to send them back to school.,"['schoolread', 'technology', 'send', 'pupils', 'falling', 'parents']"
7,Science & Environment,https://bbc.com/news/science_and_environment,[],"PA Media

Four out of five Scottish engineering firms expect to cut jobs in the next six months because of the coronavirus crisis, according to a survey.

Industry body Scottish Engineering found confidence among companies plummeted in the last quarter.

Orders and output fell in at least 60% of firms who responded, with 27% reporting a cut in employee numbers.

Scottish Engineering said Covid-19 had been ""an economic tornado"", both in its pace and impact.

Read more here.","PA MediaFour out of five Scottish engineering firms expect to cut jobs in the next six months because of the coronavirus crisis, according to a survey.
Industry body Scottish Engineering found confidence among companies plummeted in the last quarter.
Orders and output fell in at least 60% of firms who responded, with 27% reporting a cut in employee numbers.
Scottish Engineering said Covid-19 had been ""an economic tornado"", both in its pace and impact.
Read more here.","['science', 'responded', 'reporting', 'cut', 'firms', 'environment', 'scottish', 'engineering', 'surveyindustry', 'plummeted', 'tornado', 'quarterorders']"
8,BBC News,https://bbc.com/news/stories,[],,,['bbc']
9,Entertainment & Arts,https://bbc.com/news/entertainment_and_arts,[],"Getty Images

Bristol MPs, artists and representatives from the music sector are due to meet online to discuss how to support the sector after the lockdown period.

Local MPs Thangam Debbonaire and Kerry McCarthy, who represent Bristol West and Bristol East, will be holding the public meeting which has now sold out of free tickets.

Due to happen tomorrow (29 May) at 10:00 GMT, the meeting is to be used as an opportunity to ""discuss Bristol-wide solutions and ideas to put forward to government.""

Thangam Debbonaire said: “When the lockdown ends, I want Bristol's cultural life to return to its energetic and creative former self, but the venues and organisations need support.

""[They] have been built up over decades and they enrich us in so many ways.

""If they are lost, our city will lose a big part of its personality.”","Getty ImagesBristol MPs, artists and representatives from the music sector are due to meet online to discuss how to support the sector after the lockdown period.
Local MPs Thangam Debbonaire and Kerry McCarthy, who represent Bristol West and Bristol East, will be holding the public meeting which has now sold out of free tickets.
Thangam Debbonaire said: “When the lockdown ends, I want Bristol's cultural life to return to its energetic and creative former self, but the venues and organisations need support.
""[They] have been built up over decades and they enrich us in so many ways.
""If they are lost, our city will lose a big part of its personality.”","['sector', 'waysif', 'arts', 'venues', 'bristol', 'mps', 'lockdown', 'west', 'meeting', 'discuss', 'entertainment', 'debbonaire']"
